object,split,label,image,mask
pcb1,train,normal,pcb1/Data/Images/Normal/pcb1_train_0000.jpg,
pcb1,train,normal,pcb1/Data/Images/Normal/pcb1_train_0001.jpg,
pcb1,train,normal,pcb1/Data/Images/Normal/pcb1_train_0002.jpg,
pcb1,train,normal,pcb1/Data/Images/Normal/pcb1_train_0003.jpg,
pcb1,train,normal,pcb1/Data/Images/Normal/pcb1_train_0004.jpg,
pcb1,train,normal,pcb1/Data/Images/Normal/pcb1_train_0005.jpg,
pcb1,train,normal,pcb1/Data/Images/Normal/pcb1_train_0006.jpg,
pcb1,train,normal,pcb1/Data/Images/Normal/pcb1_train_0007.jpg,
pcb1,train,normal,pcb1/Data/Images/Normal/pcb1_train_0008.jpg,
pcb1,train,normal,pcb1/Data/Images/Normal/pcb1_train_0009.jpg,
pcb1,train,normal,pcb1/Data/Images/Normal/pcb1_train_0010.jpg,
pcb1,train,normal,pcb1/Data/Images/Normal/pcb1_train_0011.jpg,
pcb1,train,normal,pcb1/Data/Images/Normal/pcb1_train_0012.jpg,
pcb1,train,normal,pcb1/Data/Images/Normal/pcb1_train_0013.jpg,
pcb1,train,normal,pcb1/Data/Images/Normal/pcb1_train_0014.jpg,
pcb1,train,normal,pcb1/Data/Images/Normal/pcb1_train_0015.jpg,
pcb1,train,normal,pcb1/Data/Images/Normal/pcb1_train_0016.jpg,
pcb1,train,normal,pcb1/Data/Images/Normal/pcb1_train_0017.jpg,
pcb1,train,normal,pcb1/Data/Images/Normal/pcb1_train_0018.jpg,
pcb1,train,normal,pcb1/Data/Images/Normal/pcb1_train_0019.jpg,
pcb1,train,normal,pcb1/Data/Images/Normal/pcb1_train_0020.jpg,
pcb1,train,normal,pcb1/Data/Images/Normal/pcb1_train_0021.jpg,
pcb1,train,normal,pcb1/Data/Images/Normal/pcb1_train_0022.jpg,
pcb1,train,normal,pcb1/Data/Images/Normal/pcb1_train_0023.jpg,
pcb1,train,normal,pcb1/Data/Images/Normal/pcb1_train_0024.jpg,
pcb1,train,normal,pcb1/Data/Images/Normal/pcb1_train_0025.jpg,
pcb1,train,normal,pcb1/Data/Images/Normal/pcb1_train_0026.jpg,
pcb1,train,normal,pcb1/Data/Images/Normal/pcb1_train_0027.jpg,
pcb1,train,normal,pcb1/Data/Images/Normal/pcb1_train_0028.jpg,
pcb1,train,normal,pcb1/Data/Images/Normal/pcb1_train_0029.jpg,
pcb1,train,normal,pcb1/Data/Images/Normal/pcb1_train_0030.jpg,
