bank_size,k,seed,auroc,auprc
50,1,13,0.7241000000000001,0.7651113663284174
50,1,42,0.8467,0.8689932172002842
50,1,123,0.7143999999999999,0.76699321471065
50,5,13,0.7475999999999999,0.7795312547594644
50,5,42,0.8991,0.8991500516109334
50,5,123,0.746,0.7888970204311828
50,10,13,0.8256,0.8373882979578604
50,10,42,0.8676999999999999,0.8609615999070054
50,10,123,0.7689999999999999,0.8046468489443187
150,1,13,0.7068,0.7628443769704185
150,1,42,0.7314,0.7819436127145459
150,1,123,0.7171,0.7722606691611151
150,5,13,0.7290000000000001,0.7695693223227065
150,5,42,0.7731000000000001,0.8065954805134853
150,5,123,0.7165,0.7703918834714149
150,10,13,0.7385,0.7748012390053339
150,10,42,0.7895000000000001,0.8181456162069832
150,10,123,0.7309,0.779051360861693
250,1,13,0.7275,0.7738891300627654
250,1,42,0.7394000000000001,0.7852351942857585
250,1,123,0.7083,0.7657595705775601
250,5,13,0.7367999999999999,0.7742277705518043
250,5,42,0.7434999999999998,0.7870386209964888
250,5,123,0.7173999999999999,0.7697391531790003
250,10,13,0.7376999999999998,0.7737714393356926
250,10,42,0.7522,0.7924291084317094
250,10,123,0.7275,0.7749657329567532
