backbone,corruption,severity,auroc,auprc,logistic_ece15,logistic_brier,isotonic_ece15,isotonic_brier
resnet50,clean,0,0.7608,0.7668753890623967,0.3299306103568798,0.3399557035173737,0.34064963936805726,0.34187459887100885
resnet50,blur,1,0.7668999999999999,0.7767919805250059,0.32992160327232145,0.339954656637019,0.3433150142431259,0.34272177240148194
resnet50,blur,2,0.7684,0.7913418761441535,0.3299417878151711,0.3399615856577924,0.35489141017198567,0.35025829350636445
resnet50,blur,3,0.7662,0.792624735765587,0.339940434617837,0.3399839627264407,0.3935517129302025,0.3784423208596746
resnet50,brightness,1,0.6822,0.7046033650261685,0.30010811214935296,0.33998736791861217,0.3785931605100632,0.3742930651429108
resnet50,brightness,2,0.75,0.7650963485226008,0.3199830677655374,0.3399900089952611,0.39775188088417057,0.38068373440398046
resnet50,brightness,3,0.7418,0.7649547184112517,0.3200196319010083,0.3400205566903848,0.4377388796210288,0.4211207877383681
resnet50,jpeg,1,0.7588,0.7671421736599807,0.3299310320271974,0.3399562578947443,0.34210402101278314,0.34321282895050487
resnet50,jpeg,2,0.6732,0.7013551798695505,0.31000343020974497,0.34001818889239466,0.42082368731498715,0.4125776812315543
resnet50,jpeg,3,0.6065,0.6560006310072616,0.3100530064902601,0.34006441253983,0.4703611794114113,0.4700057703496142
resnet50,resolution,1,0.7652,0.7814382263422712,0.3299312491071616,0.3399549849060868,0.3448214992880821,0.3434715242362455
resnet50,resolution,2,0.767,0.7913928841922228,0.3299431108622365,0.33996274417252165,0.3551353526115418,0.35089736906792046
resnet50,resolution,3,0.7493,0.7770056359797499,0.3299475820428974,0.3399953552947094,0.4097253793478013,0.39430777247313487
dinov2_vits14,clean,0,0.7367999999999999,0.7742277705518043,0.3399561915334913,0.339969422437897,0.32753357797861093,0.3360367342441327
dinov2_vits14,blur,1,0.7375,0.7749036300060088,0.339956059264342,0.33996932751956543,0.327153622508049,0.3354360593887705
dinov2_vits14,blur,2,0.7413,0.7745446915297718,0.339956816592767,0.33996986720419103,0.3282181414961815,0.3357359480054679
dinov2_vits14,blur,3,0.7481,0.7771071486614541,0.3299598041632187,0.3399719568069662,0.3325592875480652,0.3381578481842875
dinov2_vits14,brightness,1,0.7327000000000001,0.7739854359183598,0.3399588635822216,0.33997115347726115,0.33105459362268447,0.3364924237541053
dinov2_vits14,brightness,2,0.7186000000000001,0.766187263944817,0.3399573080089675,0.3399706541158031,0.3291297155618668,0.3376208412363672
dinov2_vits14,brightness,3,0.7362,0.774421314657247,0.33996091056393524,0.3399729184706576,0.3346210181713105,0.3402407262669965
dinov2_vits14,jpeg,1,0.7396999999999999,0.7754433256589202,0.33995608700245744,0.33996933273939783,0.32641776293516156,0.3352595089317467
dinov2_vits14,jpeg,2,0.73,0.7688684360742251,0.3399582782938346,0.339971065051812,0.3300507032871246,0.3371537161776874
dinov2_vits14,jpeg,3,0.7262,0.7731086433968689,0.33995960637735456,0.3399720505859624,0.33264855831861495,0.33860846410238293
dinov2_vits14,resolution,1,0.7373999999999999,0.7744195357311131,0.33995614680026215,0.3399694297365237,0.32758947879076006,0.33611768423067967
dinov2_vits14,resolution,2,0.7406,0.7753973656059767,0.3399568734285055,0.3399699108715415,0.328602634370327,0.3357564589477967
dinov2_vits14,resolution,3,0.7480000000000001,0.7749993612094421,0.3299609385540952,0.3399729107294972,0.33346298068761826,0.33853911021258914
